url,neighborhood,source,dest,matrix
"https://drive.google.com/uc?export=view&id=1-5m1Vz95cfW9oB7r0RYWNOdVXCQplv89
",columbia,"POLYGON ((455.5 1892.5, 455 1669.5, 671.5 1674, 672.5 1897.5, 455.5 1892.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[3.8052224575311033, -0.1340472112662107, 0.0], [0.02792219267257852, 5.0489236552093, 0.0], [6277167.529002045, 1833068.9641356934, 1.0000000000000002]]"
"https://drive.google.com/uc?export=view&id=1-QeJIbcgTfKKXNkMe_fx-OaDeB4-mR37
",east_village,"POLYGON ((105.5 1732.5, 108 1504.5, 635.5 1505.5, 633.5 1737, 105.5 1732.5))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[5.1602666824740275, -0.04325084065126665, 0.0], [0.06138307606206803, 5.026621377484406, 0.0], [6281622.793250429, 1832319.531538809, 1.0]]"
"https://drive.google.com/uc?export=view&id=1-YRcw04UbM55V_9hp2otRaexIt8_9CEl
",east_village_south,"POLYGON ((147.5 1853.5, 141 1578.5, 608 1563.5, 614 1848, 147.5 1853.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[5.8226034114904515, 0.08818136399072059, 0.0], [-0.1158027878081153, 6.7872759696685865, 0.0], [6281630.918089196, 1827273.2316047142, 0.9999999999999996]]"
"https://drive.google.com/uc?export=view&id=1-fX8Zc7gzmQjgGR5MEohf8lPONb6_q69
",gaslamp,"POLYGON ((483 1950, 482.5 1582.5, 664 1582.5, 665.5 1950, 483 1950))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[3.0631986784718417, -0.005494463602054659, 0.0], [-0.006973330220780001, 7.300695222933299, 0.0], [6279967.556652747, 1827174.2995108338, 0.9999999999999998]]"
"https://drive.google.com/uc?export=view&id=1-quXvc0GNjU7svP4tIIK4wqNEpNSno88
",city_center,"POLYGON ((211.5 1804.5, 210.5 1685, 687.5 1682, 686.5 1803.5, 211.5 1804.5))","POLYGON ((6280315 1841426.99999984, 6280318 1842176.99899985, 6283399.60100012 1842164.96199983, 6283395.99999989 1841402.99999985, 6280315 1841426.99999984))","[[6.473407632341012, -0.011492667028007294, 0.0], [0.027852686707470962, 6.2736762697847155, 0.0], [6278902.022100634, 1830858.4274619012, 0.9999999999999993]]"
"https://drive.google.com/uc?export=view&id=107JASMcwG6HC3Eo0MWxIiQXyLz6V2sLP
",cortez,"POLYGON ((261 1786.5, 258 1641, 666 1640.5, 665 1788.5, 261 1786.5))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[5.522070417625812, -0.03810704043695218, 0.0], [-0.009806685892467044, 5.162724551327057, 0.0], [6279180.350817285, 1834480.8742845058, 1.0]]"
"https://drive.google.com/uc?export=view&id=10FZE_Ugccb-9KG2LZLZttwgWOhtLD47d
",east_village,"POLYGON ((138.5 1731.5, 138 1522.5, 612.5 1520.5, 612.5 1731, 138.5 1731.5))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[5.742763007476805, -0.004463326410128123, 0.0], [0.0051022995135917605, 5.506558511114489, 0.0], [6281470.76208365, 1831491.946322482, 0.9999999999999998]]"
"https://drive.google.com/uc?export=view&id=10I--PO0hS8MmdkIPZ71TVS7OebG6UB8g
",cortez,"POLYGON ((270 1776.5, 268 1637, 640 1641, 635 1775.5, 270 1776.5))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[6.08322097116894, -0.054472132334294474, 0.0], [0.09306134186939527, 5.527017551842372, 0.0], [6278801.376353557, 1833900.1120240567, 0.9999999999999994]]"
"https://drive.google.com/uc?export=view&id=10OjziZvZ4tZjSbMLJyin2yQCFJDP96_X
",east_village_south,"POLYGON ((123.5 1880.5, 123 1604.5, 585 1598.5, 583 1882, 123.5 1880.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[5.901094523328566, -0.028474851622629586, 0.0], [0.030276315417251263, 6.7897054425875, 0.0], [6281492.0576383, 1827105.3579712173, 1.0000000000000004]]"
"https://drive.google.com/uc?export=view&id=10dDjnVJMllv46jIVJDIfjYoLzOYPYY6g
",east_village_south,"POLYGON ((157.5 1850.5, 154 1575.5, 617 1563.5, 619 1846, 157.5 1850.5))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[5.88105347800515, 0.060151813131643264, 0.0], [-0.04364028654588272, 6.813545200965826, 0.0], [6281430.897838233, 1827251.9435788908, 0.9999999999999999]]"
"https://drive.google.com/uc?export=view&id=10eypInUI518GMNDszg2MJr-EkboVxDUy
",golden_hill,"POLYGON ((95 1823.5, 93.5 1650, 592 1669.5, 590 1823.5, 95 1823.5))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[6.622740167907848, -0.051939682746263156, 0.0], [-0.024751784777468012, 6.6476230472606215, 0.0], [6285267.185895847, 1830051.307326762, 1.0000000000000002]]"
"https://drive.google.com/uc?export=view&id=10paqX818qHrndbzVInrT492iogLQ7DXb
",cortez,"POLYGON ((230 1824.5, 229 1680, 606 1685, 607 1823.5, 230 1824.5))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[5.947029689024905, -0.059182569078220275, 0.0], [-0.01362561352538319, 5.351489149933609, 0.0], [6279255.529196887, 1833955.044961603, 1.0000000000000002]]"
