file_id,neighborhood,date,count,type,x,y
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6280162.153113372,1841923.0398931247
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6280977.663501162,1842475.5597366584
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6281086.977732499,1842386.4315387155
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,5,1,6281053.073015473,1842011.2196028247
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6280174.374961094,1841766.3467306984
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6280406.2644854775,1841669.3065927487
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6280122.014407668,1841598.0010544565
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6280688.764308152,1841339.922580957
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,10,1,6280688.025919267,1841170.8816770155
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6280523.917185958,1840534.4552931315
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,3,1,6281288.926666404,1841344.3621073873
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6281236.566112979,1841176.0164311456
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6281443.136814349,1841192.0178430066
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6281634.998319218,1842272.6115826648
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,22,1,6281343.119518173,1841932.1796563729
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6281517.645148598,1841998.7017793066
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6281918.181835304,1842099.7469263745
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6282208.392424423,1842058.271625243
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6282206.47808287,1841620.017429839
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6282652.156815813,1841714.1934784495
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6282617.841882739,1841245.0699292575
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,6,1,6282747.362205611,1841349.765021749
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,7,1,6282688.302751989,1841125.1592809893
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,3,1,6283194.162195749,1841700.6328133817
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6283309.436938397,1841498.7237760155
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6283326.143814903,1842368.7975856785
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6283479.752312644,1842078.7162884565
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,3,1,6283477.619189199,1841590.375899292
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6283600.303873192,1841607.5070561653
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,1,1,6283561.067642794,1841489.073766759
arqzAJP7xI/Qut8mQN0X3OVRjb9OsjkWQTTXsQ==,core,2019-02-27,2,1,6283605.006388625,1841206.7306026192
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,5,1,6280172.340530951,1841913.2221094912
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6280444.439017213,1841724.915161865
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6280678.127222302,1841326.7832292381
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6280684.958335622,1841141.222023801
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6280685.463983974,1840881.5300932394
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6280511.305440834,1840611.2800519557
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6281064.866629002,1842070.9251556024
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,4,1,6281026.745289746,1841712.7047817092
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,4,1,6281273.3492881935,1841326.8051928466
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,1,6281363.121761635,1841740.1380830007
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,1,6281297.423144923,1842254.008496137
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,25,1,6281362.676309515,1841968.914307543
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6281575.943410123,1842090.3671440044
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6281634.534010846,1841904.2701839937
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,1,6281801.945715393,1842316.7994422878
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6282080.586373058,1842091.3266781168
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6281919.560329712,1841722.012438928
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6281797.04088151,1841513.0580551093
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,4,1,6282087.802742266,1841707.9049541564
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6282346.744650239,1841631.0284868428
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,4,1,6282482.468833716,1841703.8198255335
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,1,6282941.063772644,1842094.78604074
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6282928.2683717515,1842020.7222849373
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,2,1,6283212.512139595,1842240.3687181214
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6283302.898614608,1842338.3614068795
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,1,1,6283484.923646266,1841891.300099195
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,3,1,6283601.35841443,1841902.4609338127
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,4,1,6283479.055672664,1841582.2100083246
svm4MaJvUPEy8zyYPg1XZs89y5Lth/p5YwbjJA==,core,2019-03-01,4,1,6282761.579021995,1841237.2045544125
